t	x	y	z
0.0000	0.0000	0.0000	0.0000
0.1000	0.0000	0.1010	0.0000
0.2000	-0.0101	0.2020	0.0000
0.3000	-0.0303	0.3020	0.0000
0.4000	-0.0605	0.4000	0.0000
0.5000	-0.1005	0.4949	0.0000
0.6000	-0.1500	0.5859	0.0000
0.7000	-0.2086	0.6719	0.0000
0.8000	-0.2758	0.7520	0.0000
0.9000	-0.3510	0.8254	0.0000
1.0000	-0.4335	0.8913	0.0000
1.1000	-0.5226	0.9490	0.0000
1.2000	-0.6175	0.9977	0.0000
1.3000	-0.7173	1.0370	0.0000
1.4000	-0.8210	1.0662	0.0000
1.5000	-0.9276	1.0851	0.0000
1.6000	-1.0361	1.0934	0.0000
1.7000	-1.1455	1.0908	0.0000
1.8000	-1.2546	1.0772	0.0000
1.9000	-1.3623	1.0528	0.0000
2.0000	-1.4675	1.0175	0.0000
2.1000	-1.5693	0.9718	0.0000
2.2000	-1.6665	0.9158	0.0000
2.3000	-1.7581	0.8502	0.0000
2.4000	-1.8431	0.7754	0.0000
2.5000	-1.9206	0.6921	0.0000
2.6000	-1.9898	0.6010	0.0000
2.7000	-2.0499	0.5030	0.0000
2.8000	-2.1002	0.3990	0.0000
2.9000	-2.1401	0.2900	0.0000
3.0000	-2.1691	0.1770	0.0000
3.1000	-2.1868	0.0611	0.0000
3.2000	-2.1930	-0.0566	0.0000
3.3000	-2.1873	-0.1749	0.0000
3.4000	-2.1698	-0.2926	0.0000
3.5000	-2.1405	-0.4086	0.0000
3.6000	-2.0997	-0.5217	0.0000
3.7000	-2.0475	-0.6306	0.0000
3.8000	-1.9845	-0.7344	0.0000
3.9000	-1.9110	-0.8318	0.0000
4.0000	-1.8278	-0.9219	0.0000
4.1000	-1.7356	-1.0037	0.0000
4.2000	-1.6353	-1.0763	0.0000
4.3000	-1.5276	-1.1388	0.0000
4.4000	-1.4138	-1.1906	0.0000
4.5000	-1.2947	-1.2309	0.0000
4.6000	-1.1716	-1.2594	0.0000
4.7000	-1.0457	-1.2756	0.0000
4.8000	-0.9181	-1.2791	0.0000
4.9000	-0.7902	-1.2699	0.0000
5.0000	-0.6632	-1.2480	0.0000
5.1000	-0.5384	-1.2133	0.0000
5.2000	-0.4171	-1.1661	0.0000
5.3000	-0.3005	-1.1068	0.0000
5.4000	-0.1898	-1.0359	0.0000
5.5000	-0.0862	-0.9539	0.0000
5.6000	0.0092	-0.8615	0.0000
5.7000	0.0953	-0.7596	0.0000
5.8000	0.1713	-0.6490	0.0000
5.9000	0.2362	-0.5309	0.0000
6.0000	0.2893	-0.4063	0.0000
6.1000	0.3299	-0.2764	0.0000
6.2000	0.3576	-0.1424	0.0000
6.3000	0.3718	-0.0056	0.0000
6.4000	0.3723	0.1326	0.0000
6.5000	0.3591	0.2708	0.0000
6.6000	0.3320	0.4077	0.0000
6.7000	0.2912	0.5419	0.0000
6.8000	0.2370	0.6720	0.0000
6.9000	0.1698	0.7967	0.0000
7.0000	0.0902	0.9147	0.0000
7.1000	-0.0013	1.0247	0.0000
7.2000	-0.1038	1.1256	0.0000
7.3000	-0.2163	1.2162	0.0000
7.4000	-0.3380	1.2956	0.0000
7.5000	-0.4675	1.3628	0.0000
7.6000	-0.6038	1.4171	0.0000
7.7000	-0.7455	1.4577	0.0000
7.8000	-0.8913	1.4841	0.0000
7.9000	-1.0397	1.4960	0.0000
8.0000	-1.1893	1.4930	0.0000
8.1000	-1.3386	1.4751	0.0000
8.2000	-1.4861	1.4422	0.0000
8.3000	-1.6303	1.3946	0.0000
8.4000	-1.7698	1.3326	0.0000
8.5000	-1.9030	1.2566	0.0000
8.6000	-2.0287	1.1673	0.0000
8.7000	-2.1454	1.0654	0.0000
8.8000	-2.2520	0.9519	0.0000
8.9000	-2.3472	0.8277	0.0000
9.0000	-2.4299	0.6940	0.0000
9.1000	-2.4993	0.5520	0.0000
9.2000	-2.5545	0.4031	0.0000
9.3000	-2.5948	0.2486	0.0000
9.4000	-2.6197	0.0901	0.0000
9.5000	-2.6287	-0.0709	0.0000
9.6000	-2.6216	-0.2327	0.0000
9.7000	-2.5984	-0.3939	0.0000
9.8000	-2.5590	-0.5527	0.0000
9.9000	-2.5037	-0.7076	0.0000
10.0000	-2.4329	-0.8570	0.0000
10.1000	-2.3472	-0.9993	0.0000
10.2000	-2.2473	-1.1330	0.0000
10.3000	-2.1340	-1.2567	0.0000
10.4000	-2.0083	-1.3691	0.0000
10.5000	-1.8714	-1.4690	0.0000
10.6000	-1.7245	-1.5551	0.0000
10.7000	-1.5690	-1.6266	0.0000
10.8000	-1.4064	-1.6825	0.0000
10.9000	-1.2381	-1.7221	0.0000
11.0000	-1.0659	-1.7449	0.0000
11.1000	-0.8914	-1.7505	0.0000
11.2000	-0.7164	-1.7386	0.0000
11.3000	-0.5425	-1.7093	0.0000
11.4000	-0.3716	-1.6625	0.0000
11.5000	-0.2053	-1.5987	0.0000
11.6000	-0.0454	-1.5182	0.0000
11.7000	0.1064	-1.4218	0.0000
11.8000	0.2486	-1.3101	0.0000
11.9000	0.3796	-1.1843	0.0000
12.0000	0.4980	-1.0453	0.0000
12.1000	0.6025	-0.8945	0.0000
12.2000	0.6920	-0.7333	0.0000
12.3000	0.7653	-0.5631	0.0000
12.4000	0.8216	-0.3855	0.0000
12.5000	0.8602	-0.2024	0.0000
12.6000	0.8804	-0.0154	0.0000
12.7000	0.8819	0.1737	0.0000
12.8000	0.8646	0.3629	0.0000
12.9000	0.8283	0.5503	0.0000
13.0000	0.7732	0.7342	0.0000
13.1000	0.6998	0.9125	0.0000
13.2000	0.6086	1.0835	0.0000
13.3000	0.5002	1.2453	0.0000
13.4000	0.3757	1.3964	0.0000
13.5000	0.2361	1.5349	0.0000
13.6000	0.0826	1.6595	0.0000
13.7000	-0.0834	1.7688	0.0000
13.8000	-0.2603	1.8614	0.0000
13.9000	-0.4464	1.9364	0.0000
14.0000	-0.6400	1.9928	0.0000
14.1000	-0.8393	2.0298	0.0000
14.2000	-1.0423	2.0468	0.0000
14.3000	-1.2470	2.0436	0.0000
14.4000	-1.4514	2.0199	0.0000
14.5000	-1.6533	1.9758	0.0000
14.6000	-1.8509	1.9114	0.0000
14.7000	-2.0421	1.8274	0.0000
14.8000	-2.2248	1.7241	0.0000
14.9000	-2.3972	1.6027	0.0000
15.0000	-2.5575	1.4639	0.0000
15.1000	-2.7039	1.3092	0.0000
15.2000	-2.8348	1.1398	0.0000
15.3000	-2.9488	0.9573	0.0000
15.4000	-3.0445	0.7635	0.0000
15.5000	-3.1209	0.5600	0.0000
15.6000	-3.1769	0.3489	0.0000
15.7000	-3.2117	0.1322	0.0000
15.8000	-3.2250	-0.0879	0.0000
15.9000	-3.2162	-0.3094	0.0000
16.0000	-3.1852	-0.5301	0.0000
16.1000	-3.1322	-0.7476	0.0000
16.2000	-3.0575	-0.9598	0.0000
16.3000	-2.9615	-1.1646	0.0000
16.4000	-2.8450	-1.3597	0.0000
16.5000	-2.7091	-1.5432	0.0000
16.6000	-2.5547	-1.7131	0.0000
16.7000	-2.3834	-1.8676	0.0000
16.8000	-2.1967	-2.0049	0.0000
16.9000	-1.9962	-2.1236	0.0000
