t	x	y	z
0.0000	0.0000	0.0000	0.0000
0.1000	-0.0000	0.1005	0.0500
0.2000	-0.0101	0.2005	0.1000
0.3000	-0.0300	0.2990	0.1500
0.4000	-0.0597	0.3950	0.2000
0.5000	-0.0989	0.4876	0.2500
0.6000	-0.1470	0.5758	0.3000
0.7000	-0.2038	0.6587	0.3500
0.8000	-0.2685	0.7356	0.4000
0.9000	-0.3405	0.8057	0.4500
1.0000	-0.4192	0.8682	0.5000
1.1000	-0.5038	0.9225	0.5500
1.2000	-0.5933	0.9682	0.6000
1.3000	-0.6870	1.0047	0.6500
1.4000	-0.7838	1.0316	0.7000
1.5000	-0.8828	1.0488	0.7500
1.6000	-0.9830	1.0560	0.8000
1.7000	-1.0835	1.0532	0.8500
1.8000	-1.1832	1.0403	0.9000
1.9000	-1.2811	1.0176	0.9500
2.0000	-1.3762	0.9853	1.0000
2.1000	-1.4676	0.9436	1.0500
2.2000	-1.5545	0.8930	1.1000
2.3000	-1.6358	0.8340	1.1500
2.4000	-1.7109	0.7671	1.2000
2.5000	-1.7789	0.6931	1.2500
2.6000	-1.8392	0.6127	1.3000
2.7000	-1.8912	0.5267	1.3500
2.8000	-1.9343	0.4359	1.4000
2.9000	-1.9682	0.3413	1.4500
3.0000	-1.9924	0.2438	1.5000
3.1000	-2.0068	0.1443	1.5500
3.2000	-2.0112	0.0439	1.6000
3.3000	-2.0056	-0.0564	1.6500
3.4000	-1.9900	-0.1557	1.7000
3.5000	-1.9646	-0.2529	1.7500
3.6000	-1.9296	-0.3471	1.8000
3.7000	-1.8853	-0.4374	1.8500
3.8000	-1.8323	-0.5228	1.9000
3.9000	-1.7711	-0.6024	1.9500
4.0000	-1.7022	-0.6756	2.0000
4.1000	-1.6263	-0.7415	2.0500
4.2000	-1.5443	-0.7995	2.1000
4.3000	-1.4568	-0.8491	2.1500
4.4000	-1.3649	-0.8897	2.2000
4.5000	-1.2694	-0.9209	2.2500
4.6000	-1.1712	-0.9424	2.3000
4.7000	-1.0714	-0.9541	2.3500
4.8000	-0.9709	-0.9557	2.4000
4.9000	-0.8707	-0.9472	2.4500
5.0000	-0.7719	-0.9289	2.5000
5.1000	-0.6755	-0.9007	2.5500
5.2000	-0.5823	-0.8631	2.6000
5.3000	-0.4933	-0.8164	2.6500
5.4000	-0.4094	-0.7610	2.7000
5.5000	-0.3315	-0.6976	2.7500
5.6000	-0.2603	-0.6267	2.8000
5.7000	-0.1965	-0.5490	2.8500
5.8000	-0.1408	-0.4654	2.9000
5.9000	-0.0937	-0.3766	2.9500
6.0000	-0.0557	-0.2836	3.0000
6.1000	-0.0271	-0.1872	3.0500
6.2000	-0.0083	-0.0885	3.1000
6.3000	0.0005	0.0116	3.1500
6.4000	-0.0007	0.1121	3.2000
6.5000	-0.0119	0.2120	3.2500
6.6000	-0.0330	0.3103	3.3000
6.7000	-0.0638	0.4059	3.3500
6.8000	-0.1040	0.4980	3.4000
6.9000	-0.1532	0.5857	3.4500
7.0000	-0.2109	0.6680	3.5000
7.1000	-0.2765	0.7441	3.5500
7.2000	-0.3493	0.8133	3.6000
7.3000	-0.4287	0.8749	3.6500
7.4000	-0.5139	0.9283	3.7000
7.5000	-0.6040	0.9729	3.7500
7.6000	-0.6980	1.0083	3.8000
7.7000	-0.7951	1.0341	3.8500
7.8000	-0.8944	1.0501	3.9000
7.9000	-0.9947	1.0562	3.9500
8.0000	-1.0951	1.0522	4.0000
8.1000	-1.1946	1.0382	4.0500
8.2000	-1.2922	1.0144	4.1000
8.3000	-1.3870	0.9809	4.1500
8.4000	-1.4780	0.9382	4.2000
8.5000	-1.5642	0.8866	4.2500
8.6000	-1.6449	0.8266	4.3000
8.7000	-1.7191	0.7589	4.3500
8.8000	-1.7863	0.6841	4.4000
8.9000	-1.8456	0.6030	4.4500
9.0000	-1.8966	0.5164	4.5000
9.1000	-1.9387	0.4252	4.5500
9.2000	-1.9715	0.3302	4.6000
9.3000	-1.9946	0.2324	4.6500
9.4000	-2.0078	0.1327	4.7000
9.5000	-2.0111	0.0323	4.7500
9.6000	-2.0043	-0.0680	4.8000
9.7000	-1.9875	-0.1671	4.8500
9.8000	-1.9610	-0.2640	4.9000
9.9000	-1.9249	-0.3578	4.9500
10.0000	-1.8796	-0.4475	5.0000
10.1000	-1.8256	-0.5323	5.0500
10.2000	-1.7635	-0.6112	5.1000
10.3000	-1.6937	-0.6836	5.1500
10.4000	-1.6171	-0.7486	5.2000
10.5000	-1.5344	-0.8057	5.2500
10.6000	-1.4464	-0.8543	5.3000
10.7000	-1.3540	-0.8938	5.3500
10.8000	-1.2581	-0.9239	5.4000
10.9000	-1.1597	-0.9443	5.4500
11.0000	-1.0598	-0.9548	5.5000
11.1000	-0.9593	-0.9552	5.5500
11.2000	-0.8592	-0.9456	5.6000
11.3000	-0.7606	-0.9261	5.6500
11.4000	-0.6645	-0.8969	5.7000
11.5000	-0.5717	-0.8582	5.7500
11.6000	-0.4833	-0.8104	5.8000
11.7000	-0.4001	-0.7541	5.8500
11.8000	-0.3229	-0.6897	5.9000
11.9000	-0.2525	-0.6180	5.9500
12.0000	-0.1896	-0.5396	6.0000
12.1000	-0.1349	-0.4553	6.0500
12.2000	-0.0888	-0.3660	6.1000
12.3000	-0.0519	-0.2726	6.1500
12.4000	-0.0244	-0.1759	6.2000
12.5000	-0.0068	-0.0769	6.2500
12.6000	0.0009	0.0233	6.3000
12.7000	-0.0015	0.1237	6.3500
12.8000	-0.0138	0.2235	6.4000
12.9000	-0.0361	0.3215	6.4500
13.0000	-0.0680	0.4168	6.5000
13.1000	-0.1092	0.5084	6.5500
13.2000	-0.1594	0.5955	6.6000
13.3000	-0.2181	0.6771	6.6500
13.4000	-0.2845	0.7525	6.7000
13.5000	-0.3582	0.8208	6.7500
13.6000	-0.4383	0.8815	6.8000
13.7000	-0.5241	0.9339	6.8500
13.8000	-0.6147	0.9775	6.9000
13.9000	-0.7091	1.0118	6.9500
14.0000	-0.8065	1.0365	7.0000
14.1000	-0.9059	1.0514	7.0500
14.2000	-1.0063	1.0562	7.1000
14.3000	-1.1067	1.0511	7.1500
14.4000	-1.2060	1.0360	7.2000
14.5000	-1.3034	1.0110	7.2500
14.6000	-1.3978	0.9764	7.3000
14.7000	-1.4882	0.9326	7.3500
14.8000	-1.5738	0.8800	7.4000
14.9000	-1.6538	0.8191	7.4500
15.0000	-1.7273	0.7506	7.5000
15.1000	-1.7936	0.6751	7.5500
15.2000	-1.8520	0.5933	7.6000
15.3000	-1.9019	0.5061	7.6500
15.4000	-1.9430	0.4143	7.7000
15.5000	-1.9746	0.3190	7.7500
15.6000	-1.9966	0.2209	7.8000
15.7000	-2.0087	0.1211	7.8500
15.8000	-2.0108	0.0206	7.9000
15.9000	-2.0029	-0.0795	7.9500
16.0000	-1.9850	-0.1784	8.0000
16.1000	-1.9573	-0.2750	8.0500
16.2000	-1.9201	-0.3684	8.1000
16.3000	-1.8738	-0.4576	8.1500
16.4000	-1.8189	-0.5417	8.2000
16.5000	-1.7558	-0.6200	8.2500
16.6000	-1.6852	-0.6915	8.3000
16.7000	-1.6078	-0.7557	8.3500
16.8000	-1.5245	-0.8118	8.4000
16.9000	-1.4359	-0.8593	8.4500
17.0000	-1.3430	-0.8978	8.5000
17.1000	-1.2468	-0.9268	8.5500
17.2000	-1.1482	-0.9460	8.6000
17.3000	-1.0481	-0.9553	8.6500
17.4000	-0.9476	-0.9546	8.7000
17.5000	-0.8477	-0.9439	8.7500
17.6000	-0.7493	-0.9232	8.8000
17.7000	-0.6535	-0.8929	8.8500
17.8000	-0.5612	-0.8531	8.9000
17.9000	-0.4734	-0.8043	8.9500
18.0000	-0.3908	-0.7470	9.0000
18.1000	-0.3144	-0.6818	9.0500
18.2000	-0.2448	-0.6093	9.1000
18.3000	-0.1828	-0.5301	9.1500
18.4000	-0.1291	-0.4452	9.2000
18.5000	-0.0840	-0.3554	9.2500
18.6000	-0.0482	-0.2615	9.3000
18.7000	-0.0219	-0.1645	9.3500
18.8000	-0.0054	-0.0654	9.4000
18.9000	0.0011	0.0349	9.4500
19.0000	-0.0024	0.1354	9.5000
19.1000	-0.0159	0.2349	9.5500
19.2000	-0.0393	0.3327	9.6000
19.3000	-0.0723	0.4276	9.6500
19.4000	-0.1146	0.5188	9.7000
19.5000	-0.1658	0.6052	9.7500
19.6000	-0.2254	0.6862	9.8000
19.7000	-0.2927	0.7608	9.8500
19.8000	-0.3672	0.8283	9.9000
19.9000	-0.4480	0.8880	9.9500
20.0000	-0.5344	0.9394	10.0000
20.1000	-0.6254	0.9819	10.0500
20.2000	-0.7203	1.0151	10.1000
20.3000	-0.8180	1.0387	10.1500
20.4000	-0.9175	1.0524	10.2000
20.5000	-1.0180	1.0562	10.2500
20.6000	-1.1183	1.0498	10.3000
20.7000	-1.2174	1.0336	10.3500
20.8000	-1.3145	1.0075	10.4000
20.9000	-1.4084	0.9718	10.4500
21.0000	-1.4984	0.9270	10.5000
21.1000	-1.5834	0.8734	10.5500
21.2000	-1.6627	0.8116	10.6000
21.3000	-1.7353	0.7422	10.6500
21.4000	-1.8007	0.6659	10.7000
21.5000	-1.8582	0.5834	10.7500
21.6000	-1.9072	0.4957	10.8000
21.7000	-1.9471	0.4035	10.8500
21.8000	-1.9777	0.3077	10.9000
21.9000	-1.9985	0.2094	10.9500
22.0000	-2.0095	0.1095	11.0000
22.1000	-2.0104	0.0090	11.0500
22.2000	-2.0013	-0.0911	11.1000
22.3000	-1.9823	-0.1898	11.1500
22.4000	-1.9535	-0.2860	11.2000
22.5000	-1.9152	-0.3790	11.2500
22.6000	-1.8679	-0.4676	11.3000
22.7000	-1.8120	-0.5511	11.3500
22.8000	-1.7480	-0.6286	11.4000
22.9000	-1.6766	-0.6993	11.4500
23.0000	-1.5985	-0.7626	11.5000
23.1000	-1.5145	-0.8177	11.5500
23.2000	-1.4254	-0.8642	11.6000
23.3000	-1.3321	-0.9016	11.6500
23.4000	-1.2355	-0.9295	11.7000
23.5000	-1.1366	-0.9476	11.7500
23.6000	-1.0365	-0.9558	11.8000
23.7000	-0.9360	-0.9539	11.8500
23.8000	-0.8362	-0.9420	11.9000
23.9000	-0.7381	-0.9202	11.9500
24.0000	-0.6427	-0.8887	12.0000
24.1000	-0.5508	-0.8479	12.0500
24.2000	-0.4635	-0.7981	12.1000
24.3000	-0.3816	-0.7399	12.1500
24.4000	-0.3059	-0.6738	12.2000
24.5000	-0.2372	-0.6004	12.2500
24.6000	-0.1762	-0.5206	12.3000
24.7000	-0.1234	-0.4351	12.3500
24.8000	-0.0794	-0.3447	12.4000
24.9000	-0.0446	-0.2504	12.4500
25.0000	-0.0195	-0.1531	12.5000
25.1000	-0.0041	-0.0538	12.5500
